candidate_simplified,year,Should abortion remain a legal option in America?,Should the Death Penalty Be Allowed?,Should Former Felons Be Allowed to Vote?,Should any federal taxes be i0reased?,Should the US Expand Its Use of Nuclear Power?,Are more federal regulations on guns and ammunition needed?,"	Should the US build a physical barrier, such as a fence, along the US-Mexico border?",Is Obamacare Good for America?,Are humans substantially responsible for global climate change today?,Should the US tax carbon emissions
"OBAMA, BA",2008,1,1,1,1,0,1,1,1,1,1
"MCCAIN, JO",2008,-1,1,0,-1,1,-1,-1,-1,0,0
"BALDWIN, CH",2008,-1,1,0,-1,1,-1,1,-1,-1,-1
"BARR, BO",2008,0,1,0,-1,1,-1,-1,-1,-1,0
"MCKINNEY, CY",2008,1,-1,1,0,-1,-1,-1,1,1,1
"NADER, RA",2008,1,-1,1,0,-1,1,-1,1,1,1
"OBAMA, BA",2012,1,1,1,1,1,1,1,1,1,1
"ROMNEY, MI",2012,-1,1,-1,-1,1,-1,1,-1,0,-1
"GOODE, VI",2012,-1,1,-1,-1,0,-1,1,-1,0,-1
"JOHNSON, GA",2012,1,-1,1,-1,0,-1,-1,-1,1,-1
STEIN,2012,1,-1,1,1,-1,0,0,-1,1,1
"CLINTON, HI",2016,1,1,1,1,0,1,0,1,1,1
"TRUMP, DO",2016,-1,1,0,-1,1,-1,1,-1,-1,-1
"JOHNSON, GA",2016,1,-1,1,0,0,-1,-1,-1,1,-1
"STEIN, JI",2016,1,-1,1,1,-1,1,-1,-1,1,1
"BIDEN, JO",2020,1,-1,1,1,1,1,-1,1,1,1
"TRUMP, DO",2020,-1,1,0,-1,1,0,1,-1,0,0
"JORGENSEN, JO",2020,1,-1,1,-1,1,-1,-1,-1,1,-1
"HAWKINS, HO",2020,1,-1,1,1,-1,1,-1,0,1,1
